id,scene,filename,format,ratio,display_location,load_priority,fallback,model,reference_media_id,reference_file,prompt,negative,status,notes
clip-ch6,Motion test: ch6 The reveal,ch6.mp4,mp4 1076x1928 24fps 5s → public/film/ch6/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch6","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),16a67355,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job 74990c68-3a37-47d5-ab70-48af58d4f0a0 · upgrade path: flux_3_video 1080p with start+end frames for the final
final-ch1,Final: ch1 Same couch,ch1_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch1/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch1","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF1→KF2,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site",job 8571885c-15d9-4e4f-acf0-783136f85756 · replaces clip-ch1 (Kling motion test) · trimmed to 5.95s before the hard cut to day; 48 frames
final-ch2,Final: ch2 The gate,ch2_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch2/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch2","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF2→KF3,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site",job bb846605-d5d7-46ce-b930-08b3726be6aa · replaces clip-ch2 (Kling motion test) · monkey lands on the bonnet at the end; 64 frames
final-ch3,Final: ch3 Riverbed,ch3_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch3/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch3","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF3→KF4a,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site","job 4c0ac3bd-7576-48e8-b9af-2b37b0cafb27 · replaces clip-ch3 (Kling motion test) · the Cinema Studio test clip, promoted to final; 64 frames"
final-ch4a,Final: ch4a The branch,ch4a_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch4a/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch4a","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF4a→KF4b,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site",job ff4c1257-a21f-4be1-8a5e-4d754b59d01f · replaces clip-ch4a (Kling motion test) · sun-flare whip mid clip; 64 frames
final-ch4b,Final: ch4b The mud,ch4b_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch4b/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch4b","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF4b→KF4c,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site",job 6eb67892-b0ca-44ec-90b4-c98cc013eaa6 · replaces clip-ch4b (Kling motion test) · rhino absent from the left seat after the mud hit (KF4c note); 64 frames
final-ch4c,Final: ch4c Tourists / golden hour,ch4c_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch4c/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch4c","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF4c→KF5v2,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site",job 7d9474de-b70d-433f-af51-1aa8d5e0a6df · replaces clip-ch4c (Kling motion test) · 64 frames
final-ch5,Final: ch5 Airborne → reveal,ch5_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch5/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch5","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF5v2→KF6,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site","job 74ffc6cd-2bc2-4764-8fb0-fcd38315ec8a · replaces clip-ch5 (Kling motion test) · monkey returns to the seat, hand lifts the device into the sun; 64 frames"
final-ch6,Final: ch6 The reveal hold,ch6_cinema.mp4,mp4 1080x1920 24fps 8s → public/film/ch6/ 8fps 648x1152 webp q58,9:16,"pinned film, beat ch6","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p 8s (80 credits),KF6→KF6 6s,key frames (start_image + end_image),"camera locked in the truck; per-beat action per 02; start frame to end frame; no zoom, no pan, no text, audio off","no text, no captions, no camera zoom, no pan, no exterior view, no humans smoking","FINAL, live on the site","job 27a0de56-1887-47e2-9cb8-d9f14417d481 · replaces clip-ch6 (Kling motion test) · genre drama, 6s hold; 48 frames"
kf-01-wide,Desktop still: kf-01 outpainted to 16:9,kf-01-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-01,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job 1b454cfd-9d0f-43dd-b075-0b1ff349cfa6
kf-02-wide,Desktop still: kf-02 outpainted to 16:9,kf-02-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-02,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job bfa1cb39-6428-4c75-a6a3-d01c20f1c5cf
kf-03-wide,Desktop still: kf-03 outpainted to 16:9,kf-03-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-03,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job a5f119ce-dab9-4a5b-967d-0b9aa5f4b209
kf-04a-wide,Desktop still: kf-04a outpainted to 16:9,kf-04a-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-04a,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job fcd2a42d-06a3-46b2-9b61-21d860c4dc7f
kf-04b-wide,Desktop still: kf-04b outpainted to 16:9,kf-04b-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-04b,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job 8129de22-e6a3-48dc-a83f-7a7b42bc525b
kf-04c-wide,Desktop still: kf-04c outpainted to 16:9,kf-04c-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-04c,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job 01aa06c9-d463-4be3-ae7c-02d0a120c075
kf-05-wide,Desktop still: kf-05 outpainted to 16:9,kf-05-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-05,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job 8686ed3e-116c-413b-b348-2f17b8ee8610
kf-06-wide,Desktop still: kf-06 outpainted to 16:9,kf-06-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-06,portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, seamless",job f2032190-08e7-4ad3-8c0b-53cf55bf1100
final-ch1-wide,Desktop film: ch1 reframed to 16:9,ch1_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch1/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch1",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch1,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job a599ee23-121d-45e1-a875-20c6cd6a059a
final-ch2-wide,Desktop film: ch2 reframed to 16:9,ch2_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch2/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch2",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch2,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job 20ede16e-3621-4b32-8407-5d38fa1fa06a
final-ch3-wide,Desktop film: ch3 reframed to 16:9,ch3_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch3/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch3",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch3,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job 39337afe-f738-4b2c-b444-8f79214e06b2
final-ch4a-wide,Desktop film: ch4a reframed to 16:9,ch4a_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch4a/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch4a",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch4a,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job 732865b7-442e-4b06-abd2-aed2b146b2a5
final-ch4b-wide,Desktop film: ch4b reframed to 16:9,ch4b_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch4b/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch4b",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch4b,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job 860df1dc-cb7a-4c4d-8d34-9e8e4124679e
final-ch4c-wide,Desktop film: ch4c reframed to 16:9,ch4c_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch4c/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch4c",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch4c,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job 541dd4f6-9079-4a2f-ba5f-75c1b67bbf39
final-ch5-wide,Desktop film: ch5 reframed to 16:9,ch5_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch5/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch5",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch5,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job 3c4a1e7d-8de5-41ae-8d07-28ca5b93e498
final-ch6-wide,Desktop film: ch6 reframed to 16:9,ch6_cinema_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch6/ 8fps 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch6",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch6,final clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job a2a39707-e84e-4470-904d-2d1d16537f5f
kf-01-v3,Key frame kf-01 cast-continuity fix,kf-01.png,png,9:16,"chapter 01, portrait master; start/end frame for the reshoot","ch1 preload, rest lazy",poster = this frame,gpt_image_2_5 edit of v1,kf-01 v1 + kf-02 (blocking master) + sheet-03 rhino + sheet-01 ape,key frame + blocking master + cast sheets,"edit the cast only: rhino front-left at the kf-02 scale, ape driver front-right in the orange fedora; everything else unchanged","text, logos, human hands, rhino in the driver seat, empty driver seat, small rhino, photoreal",APPROVED v3 (replaces the earlier candidate),job 04e088e8-40e9-46ee-9072-177d0d0acde5 · docs/sheets/kf-01-cough-v3.jpg · rhino rescaled to the kf-02 seat scale; pre-dawn grade kept · found by Jon 13 Sep: driver changed character and the rhino changed size mid-film
kf-04a-v3,Key frame kf-04a cast-continuity fix,kf-04a.png,png,9:16,"chapter 04a, portrait master; start/end frame for the reshoot","ch1 preload, rest lazy",poster = this frame,gpt_image_2_5 edit of v1,kf-04a v1 + kf-02 (blocking master) + sheet-03 rhino + sheet-01 ape,key frame + blocking master + cast sheets,"edit the cast only: rhino front-left at the kf-02 scale, ape driver front-right in the orange fedora; everything else unchanged","text, logos, human hands, rhino in the driver seat, empty driver seat, small rhino, photoreal",APPROVED v3 (replaces the earlier candidate),"job bff07bcc-9ad2-4326-a065-72096fdf7106 · docs/sheets/kf-04a-the-ranger-v3.jpg · v1 had the rhino in the driver seat wearing the fedora and no ape; v2 (nano_banana_pro 2ac98ee4) came back as a forest sheet, rejected · found by Jon 13 Sep: driver changed character and the rhino changed size mid-film"
kf-04b-v2,Key frame kf-04b cast-continuity fix,kf-04b.png,png,9:16,"chapter 04b, portrait master; start/end frame for the reshoot","ch1 preload, rest lazy",poster = this frame,nano_banana_pro edit of v1,kf-04b v1 + kf-02 (blocking master) + sheet-03 rhino + sheet-01 ape,key frame + blocking master + cast sheets,"edit the cast only: rhino front-left at the kf-02 scale, ape driver front-right in the orange fedora; everything else unchanged","text, logos, human hands, rhino in the driver seat, empty driver seat, small rhino, photoreal",APPROVED v2 (replaces the earlier candidate),"job 16c6da4f-1378-4531-ae76-f8c73045d2d2 · docs/sheets/kf-04b-the-clinger-v2.jpg · v1 had no driver; ape driver added front-right, rhino front-left at seat scale · found by Jon 13 Sep: driver changed character and the rhino changed size mid-film"
kf-04c-v2,Key frame kf-04c cast-continuity fix,kf-04c.png,png,9:16,"chapter 04c, portrait master; start/end frame for the reshoot","ch1 preload, rest lazy",poster = this frame,nano_banana_pro edit of v1,kf-04c v1 + kf-02 (blocking master) + sheet-03 rhino + sheet-01 ape,key frame + blocking master + cast sheets,"edit the cast only: rhino front-left at the kf-02 scale, ape driver front-right in the orange fedora; everything else unchanged","text, logos, human hands, rhino in the driver seat, empty driver seat, small rhino, photoreal",APPROVED v2 (replaces the earlier candidate),job 533041f6-2854-4ca7-9adf-f796c9c6367e · docs/sheets/kf-04c-the-driver-and-the-tourists-v2.jpg · v1 had no rhino; rhino added front-left at seat scale · found by Jon 13 Sep: driver changed character and the rhino changed size mid-film
kf-05-v3,Key frame kf-05 cast-continuity fix,kf-05.png,png,9:16,"chapter 05, portrait master; start/end frame for the reshoot","ch1 preload, rest lazy",poster = this frame,nano_banana_pro edit of v2,kf-05 v1 + kf-02 (blocking master) + sheet-03 rhino + sheet-01 ape,key frame + blocking master + cast sheets,"edit the cast only: rhino front-left at the kf-02 scale, ape driver front-right in the orange fedora; everything else unchanged","text, logos, human hands, rhino in the driver seat, empty driver seat, small rhino, photoreal",APPROVED v3 (replaces the earlier candidate),"job 19404bcc-fcf3-479b-ab9e-00bdd33b77e6 · docs/sheets/kf-05-airborne-v3.jpg · v2 had the monkey standing in the driver seat and a half-size rhino; ape driver restored, rhino at seat scale · found by Jon 13 Sep: driver changed character and the rhino changed size mid-film"
kf-06-v2,Key frame kf-06 cast-continuity fix,kf-06.png,png,9:16,"chapter 06, portrait master; start/end frame for the reshoot","ch1 preload, rest lazy",poster = this frame,nano_banana_pro edit of v1,kf-06 v1 + kf-02 (blocking master) + sheet-03 rhino + sheet-01 ape,key frame + blocking master + cast sheets,"edit the cast only: rhino front-left at the kf-02 scale, ape driver front-right in the orange fedora; everything else unchanged","text, logos, human hands, rhino in the driver seat, empty driver seat, small rhino, photoreal",APPROVED v2 (replaces the earlier candidate),"job 5e0f3971-219a-462b-bb5f-535c0ac8f2f2 · docs/sheets/kf-06-the-reveal-v2.jpg · v1 had a half-size rhino and no visible driver; ape driver tilting the mirror, rhino at seat scale · found by Jon 13 Sep: driver changed character and the rhino changed size mid-film"
kf-01-wide-v3,Desktop still: kf-01 v3 outpainted to 16:9,kf-01-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-01 v3,corrected portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, replaces the earlier wide still",job ca29391a-01b4-403c-8fe7-e7a52496b204
kf-04a-wide-v3,Desktop still: kf-04a v3 outpainted to 16:9,kf-04a-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-04a v3,corrected portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, replaces the earlier wide still",job a59686a7-28ac-4efe-a2c4-a6af9aac607e
kf-04b-wide-v2,Desktop still: kf-04b v2 outpainted to 16:9,kf-04b-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-04b v2,corrected portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, replaces the earlier wide still",job c7ff0bc4-af44-418c-b068-85c6ea9ca1ab
kf-04c-wide-v2,Desktop still: kf-04c v2 outpainted to 16:9,kf-04c-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-04c v2,corrected portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, replaces the earlier wide still",job b655bcac-b477-43ad-b4f2-7c14389c2a4f
kf-05-wide-v3,Desktop still: kf-05 v3 outpainted to 16:9,kf-05-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-05 v3,corrected portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, replaces the earlier wide still",job 508a9b92-844d-4627-8681-e22b99027cd9
kf-06-wide-v2,Desktop still: kf-06 v2 outpainted to 16:9,kf-06-wide.jpg,jpg 2752x1536,16:9,review page; desktop poster candidate,n/a,portrait key frame,outpaint (16:9),kf-06 v2,corrected portrait key frame,extend the truck interior and landscape sideways; no new subjects,"no text, no new characters","APPROVED, replaces the earlier wide still",job f9b67e62-1616-432c-a9b9-8982740507a0
final-ch1-v2,Final reshoot: ch1 (cast continuity),ch1_v2.mp4,mp4 1080x1920 24fps → public/film/ch1/ 648x1152 webp q58,9:16,"pinned film, beat ch1","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),kf-01 v3 → kf-02,corrected key frames (start_image + end_image),"same beat prompt as the first final plus a cast-continuity clause: rhino front-left at one scale, ape driver front-right in the orange fedora, nobody changes seat, size, species or hat","no text, no captions, no camera zoom, no pan, no exterior view, no second truck","FINAL, live on the site",job 3cbe8634-fc5f-4f96-bc18-63a018874ea5 · replaces final-ch1 · trimmed at 2.8s before the cut to day; extracted at 16fps (45 frames) so the short beat still scrubs smoothly
final-ch3-v2,Final reshoot: ch3 (cast continuity),ch3_v2.mp4,mp4 1080x1920 24fps → public/film/ch3/ 648x1152 webp q58,9:16,"pinned film, beat ch3","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),kf-03 → kf-04a v3,corrected key frames (start_image + end_image),"same beat prompt as the first final plus a cast-continuity clause: rhino front-left at one scale, ape driver front-right in the orange fedora, nobody changes seat, size, species or hat","no text, no captions, no camera zoom, no pan, no exterior view, no second truck","FINAL, live on the site",job 9821cc26-7b0c-4d61-9085-ab44488a3419 · replaces final-ch3 · 64 frames
final-ch4a-v2,Final reshoot: ch4a (cast continuity),ch4a_v2.mp4,mp4 1080x1920 24fps → public/film/ch4a/ 648x1152 webp q58,9:16,"pinned film, beat ch4a","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),kf-04a v3 → kf-04b v2,corrected key frames (start_image + end_image),"same beat prompt as the first final plus a cast-continuity clause: rhino front-left at one scale, ape driver front-right in the orange fedora, nobody changes seat, size, species or hat","no text, no captions, no camera zoom, no pan, no exterior view, no second truck","FINAL, live on the site",job 0f98b718-d2ac-4fe1-9407-8012f74b4385 · replaces final-ch4a · 64 frames
final-ch4b-v2,Final reshoot: ch4b (cast continuity),ch4b_v2.mp4,mp4 1080x1920 24fps → public/film/ch4b/ 648x1152 webp q58,9:16,"pinned film, beat ch4b","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),kf-04b v2 → kf-04c v2,corrected key frames (start_image + end_image),"same beat prompt as the first final plus a cast-continuity clause: rhino front-left at one scale, ape driver front-right in the orange fedora, nobody changes seat, size, species or hat","no text, no captions, no camera zoom, no pan, no exterior view, no second truck","FINAL, live on the site",job 9b8c11db-9954-40eb-83a2-c611810c3c0c · replaces final-ch4b · 64 frames
final-ch4c-v3,Final reshoot: ch4c (cast continuity),ch4c_v3.mp4,mp4 1080x1920 24fps → public/film/ch4c/ 648x1152 webp q58,9:16,"pinned film, beat ch4c","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),kf-04c v2 → kf-05 v3,corrected key frames (start_image + end_image),"same beat prompt as the first final plus a cast-continuity clause: rhino front-left at one scale, ape driver front-right in the orange fedora, nobody changes seat, size, species or hat","no text, no captions, no camera zoom, no pan, no exterior view, no second truck","FINAL, live on the site","job 6c2d4bdd-30a0-4922-b68f-48b228da928b · replaces final-ch4c · v2 (c057e209) drew a second red truck in the sky during the launch, rejected; v3 describes the rise from inside only"
final-ch5-v2,Final reshoot: ch5 (cast continuity),ch5_v2.mp4,mp4 1080x1920 24fps → public/film/ch5/ 648x1152 webp q58,9:16,"pinned film, beat ch5","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),kf-05 v3 → kf-06 v2,corrected key frames (start_image + end_image),"same beat prompt as the first final plus a cast-continuity clause: rhino front-left at one scale, ape driver front-right in the orange fedora, nobody changes seat, size, species or hat","no text, no captions, no camera zoom, no pan, no exterior view, no second truck","FINAL, live on the site",job 8c8890a5-185b-4682-a6fa-12eefa43a86b · replaces final-ch5 · 64 frames
final-ch6-v2,Final reshoot: ch6 (cast continuity),ch6_v2.mp4,mp4 1080x1920 24fps → public/film/ch6/ 648x1152 webp q58,9:16,"pinned film, beat ch6","ch1 warm on load, rest lazy per beat",poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),"kf-06 v2 → kf-06 v2, 6s drama",corrected key frames (start_image + end_image),"same beat prompt as the first final plus a cast-continuity clause: rhino front-left at one scale, ape driver front-right in the orange fedora, nobody changes seat, size, species or hat","no text, no captions, no camera zoom, no pan, no exterior view, no second truck","FINAL, live on the site",job d06fc5df-067e-4e49-aae3-77fcfbc678ad · replaces final-ch6 · 48 frames
final-ch2,(unchanged),ch2_cinema.mp4,,9:16,,,,,kf-02 → kf-03,,,,"FINAL, kept",the gate beat's key frames were already consistent; not reshot
final-ch1-v2-wide,Desktop film: ch1 reshoot reframed to 16:9,ch1_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch1/ 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch1",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch1-v2,reshoot clip (video only),"generative recompose to 16:9, same camera",,"APPROVED, replaces the earlier wide clip",job 097f1338-a3aa-481a-aff1-7e80e8fc7c26 · trimmed at 2.8s like the portrait clip; 16fps
final-ch3-v2-wide,Desktop film: ch3 reshoot reframed to 16:9,ch3_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch3/ 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch3",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch3-v2,reshoot clip (video only),"generative recompose to 16:9, same camera",,"APPROVED, replaces the earlier wide clip",job 7b3eef69-0ab0-4749-9c4f-ee9d2cff82ae
final-ch4a-v2-wide,Desktop film: ch4a reshoot reframed to 16:9,ch4a_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch4a/ 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch4a",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch4a-v2,reshoot clip (video only),"generative recompose to 16:9, same camera",,"APPROVED, replaces the earlier wide clip",job 10a63946-d2da-416b-9196-b1f286dbdadd
final-ch4b-v2-wide,Desktop film: ch4b reshoot reframed to 16:9,ch4b_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch4b/ 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch4b",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch4b-v2,reshoot clip (video only),"generative recompose to 16:9, same camera",,"APPROVED, replaces the earlier wide clip",job d1aba3e3-b9a5-400b-9eef-5f15c15a76be
final-ch4c-v2-wide,Desktop film: ch4c reshoot reframed to 16:9,ch4c_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch4c/ 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch4c",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch4c-v2,reshoot clip (video only),"generative recompose to 16:9, same camera",,"APPROVED, replaces the earlier wide clip",job e1c8e5b7-db6e-4d12-896e-5800f742ac3a · from the v3 clip
final-ch5-v2-wide,Desktop film: ch5 reshoot reframed to 16:9,ch5_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch5/ 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch5",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch5-v2,reshoot clip (video only),"generative recompose to 16:9, same camera",,"APPROVED, replaces the earlier wide clip",job b7e0d546-f468-4bbb-bb1d-233163926b61
final-ch6-v2-wide,Desktop film: ch6 reshoot reframed to 16:9,ch6_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch6/ 1152x648 webp q58,16:9,"pinned film on viewports wider than 1.1:1, beat ch6",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch6-v2,reshoot clip (video only),"generative recompose to 16:9, same camera",,"APPROVED, replaces the earlier wide clip",job 89036402-c876-4daf-9921-2a708e7ef7e6
final-ch3-v3,Final reshoot: ch3 (continuous take),ch3_v3a.mp4,mp4 1080x1920 24fps → public/film/ch3/ 648x1152 webp q55 12fps,9:16,"pinned film, beat ch3",lazy per beat,poster.jpg per beat,cinematic_studio_3_0 1080p (80 credits),kf-03 → kf-04a v3,corrected key frames (start_image + end_image),"one continuous unbroken shot: dust thins as the trail climbs the riverbed bank onto the plain, acacia and mound approach, no cut, no dissolve; cast-continuity clause","no cut, no dissolve, no text, no exterior view","FINAL, live on the site","job 28d7b999-e9dc-4eed-8be8-b315bda69df7 · replaces final-ch3-v2, which had a jump at ~6s · take B 6ef5bcf4 also continuous, not used"
final-ch3-v3-wide,Desktop film: ch3 continuous take reframed to 16:9,ch3_v2_wide.mp4,mp4 1280x720 24fps → public/film-wide/ch3/ 1152x648 webp q55 12fps,16:9,"pinned film on wide viewports, beat ch3",lazy per beat,portrait set,reframe 16:9 (75 credits),final-ch3-v3,reshoot clip (video only),"generative recompose to 16:9, same camera",,APPROVED,job 1308d6d8-b14d-4d0a-a0f1-c40797879145
